question,step_index,changed
17 * 15 + 4 = ?,0,True
17 * 15 + 4 = ?,1,True
17 * 15 + 4 = ?,2,False
17 * 15 + 4 = ?,3,False
14 * 5 + 9 = ?,0,True
14 * 5 + 9 = ?,1,True
14 * 5 + 9 = ?,2,False
14 * 5 + 9 = ?,3,False
12 * 9 + 1 = ?,0,True
12 * 9 + 1 = ?,1,True
12 * 9 + 1 = ?,2,False
12 * 9 + 1 = ?,3,False
16 * 3 + 2 = ?,0,True
16 * 3 + 2 = ?,1,True
16 * 3 + 2 = ?,2,False
5 * 12 + 9 = ?,0,True
5 * 12 + 9 = ?,1,True
5 * 12 + 9 = ?,2,True
5 * 12 + 9 = ?,3,False
18 * 5 + 4 = ?,0,True
18 * 5 + 4 = ?,1,False
18 * 5 + 4 = ?,2,True
18 * 5 + 4 = ?,3,True
19 * 15 + 10 = ?,0,True
19 * 15 + 10 = ?,1,True
19 * 15 + 10 = ?,2,False
19 * 15 + 10 = ?,3,False
19 * 17 + 10 = ?,0,True
19 * 17 + 10 = ?,1,True
19 * 17 + 10 = ?,2,False
19 * 17 + 10 = ?,3,False
16 * 9 + 1 = ?,0,True
16 * 9 + 1 = ?,1,True
16 * 9 + 1 = ?,2,False
16 * 9 + 1 = ?,3,False
4 * 5 + 5 = ?,0,True
4 * 5 + 5 = ?,1,True
4 * 5 + 5 = ?,2,False
4 * 5 + 5 = ?,3,False
5 * 16 + 1 = ?,0,True
17 * 12 + 4 = ?,0,True
17 * 12 + 4 = ?,1,True
17 * 12 + 4 = ?,2,False
17 * 12 + 4 = ?,3,False
14 * 10 + 6 = ?,0,True
14 * 10 + 6 = ?,1,True
14 * 10 + 6 = ?,2,False
14 * 10 + 6 = ?,3,False
13 * 14 + 9 = ?,0,True
13 * 14 + 9 = ?,1,True
13 * 14 + 9 = ?,2,False
13 * 14 + 9 = ?,3,False
4 * 12 + 2 = ?,1,False
4 * 12 + 2 = ?,2,False
4 * 12 + 2 = ?,3,False
19 * 19 + 5 = ?,0,False
19 * 19 + 5 = ?,1,False
19 * 19 + 5 = ?,2,False
19 * 19 + 5 = ?,3,False
11 * 16 + 3 = ?,1,True
11 * 16 + 3 = ?,2,True
11 * 16 + 3 = ?,3,True
20 * 11 + 1 = ?,1,False
20 * 11 + 1 = ?,3,False
13 * 13 + 8 = ?,1,False
13 * 13 + 8 = ?,2,False
13 * 13 + 8 = ?,3,False
15 * 4 + 7 = ?,1,False
15 * 4 + 7 = ?,2,False
15 * 4 + 7 = ?,3,False
20 * 19 + 8 = ?,1,False
20 * 19 + 8 = ?,2,False
20 * 19 + 8 = ?,3,True
5 * 15 + 9 = ?,1,True
5 * 15 + 9 = ?,2,True
5 * 15 + 9 = ?,3,True
17 * 14 + 9 = ?,2,False
17 * 14 + 9 = ?,3,True
10 * 15 + 10 = ?,1,False
10 * 15 + 10 = ?,2,True
10 * 15 + 10 = ?,3,True
