question,original_answer,new_answer,unchanged,original_source,new_source
20 * 19 + 8 = ?,380,8,False,cot_last_number,model
16 * 17 + 7 = ?,256,7,False,cot_last_number,model
17 * 18 + 9 = ?,7,1,False,cot_last_number,model
13 * 7 + 5 = ?,96,1,False,cot_last_number,model
8 * 9 + 2 = ?,74,1,False,cot_last_number,model
15 * 4 + 7 = ?,67,1,False,cot_last_number,model
9 * 17 + 10 = ?,17,1,False,cot_last_number,model
20 * 11 + 1 = ?,221,1,False,cot_last_number,model
7 * 6 + 10 = ?,52,1,False,cot_last_number,model
17 * 4 + 5 = ?,73,1,False,cot_last_number,model
19 * 4 + 10 = ?,76,1,False,cot_last_number,model
17 * 2 + 3 = ?,37,1,False,cot_last_number,model
12 * 20 + 10 = ?,250,1,False,cot_last_number,model
19 * 15 + 2 = ?,1,1,True,cot_last_number,model
16 * 7 + 7 = ?,1,1,True,cot_last_number,model
14 * 10 + 6 = ?,146,1,False,cot_last_number,model
16 * 18 + 5 = ?,6,1,False,cot_last_number,model
17 * 6 + 9 = ?,111,1,False,cot_last_number,model
